name;bool_val
Месягутово;1
Мраково;1
Нефтекамск;1
Октябрьский;1
Раевский;1
Салават;1
Сибай;1
Старобалтачево;1
Старосубхангулово;1
Стерлибашево;1
Стерлитамак;1
Туймазы;1
Уфа;1
Учалы;1
Федоровка;1
Чекмагуш;1
Чишмы;1
Шаран;1
Янаул;1
Алексеевка;1
Белгород;1
Борисовка;1
Валуйки;1
Вейделевка;1
Волоконовка;1
Грайворон;1
Губкин;1
Ивня;1
Короча;1
Красногвардейское;1
Новый Оскол;1
Ракитное;1
Ровеньки;1
Старый Оскол;1
Строитель;1
Чернянка;1
Шебекино;1
Алтухово;1
Белая Березка;1
Белые Берега;1
Большое Полпино;1
Брянск;1
Бытошь;1
Выгоничи;1
Вышков;1
Гордеевка;1
Дубровка;1
Дятьково;1
Жирятино;1
Жуковка;1
Злынка;1
Ивот;1
Карачев;1
Клетня;1
Климово;1
Клинцы;1
Кокаревка;1
Комаричи;1
Красная Гора;1
Локоть;1
Мглин;1
Навля;1
Новозыбков;1
Погар;1
Почеп;1
Ржаница;1
Рогнедино;1
Севск;1
Стародуб;1
Суземка;1
Сураж;1
Трубчевск;1
Унеча;1
Бабушкин;0
Багдарин;0
Баргузин;0
Баянгол;0
Бичура;0
Выдрино;0
Гусиное Озеро;0
Гусиноозерск;0
Заиграево;0
Закаменск;0
Иволгинск;0
Илька;0
Кабанск;0
Каменск;0
Кижинга;0
Курумкан;0
Кырен;0
Кяхта;0
Монды;0
Мухоршибирь;0
Нижнеангарск;0
Орлик;0
Петропавловка;0
Романовка;0
Северобайкальск;0
Селенгинск;0
Сосново-Озерское;0
Таксимо;0
Турунтаево;0
Улан-Удэ;0
Хоринск;0
Александров;1
Андреево;1
Анопино;1
Бавлены;1
Балакирево;1
Боголюбово;1
Великодворский;1
Вербовский;1
Владимир;1
Вязники;1
Городищи;1
Гороховец;1
Гусевский;1
Гусь Хрустальный;1
Золотково;1
Иванищи;1
Камешково;1
Карабаново;1
Киржач;1
Ковров;1
Кольчугино;1
Красная Горбатка;1
Меленки;1
Муром;1
Петушки;1
Покров;1
Собинка;1
Судогда;1
Суздаль;1
Юрьев-Польский;1
Алексеевская;1
Алущевск;1
Быково;1
Волгоград;1
Волжский;1
Городище;1
Дубовка;1
Елань;1
Жирновск;1
Иловля;1
Калач-на-Дону;1
Камышин;1
Кириллов;1
Клетский;1
Котельниково;1
Котово;1
Кумылженская;1
Ленинск;1
Михайловка;1
Нехаевский;1
Николаевск;1
Новоаннинский;1
Новониколаевский;1
Ольховка;1
Палласовка;1
Рудня;1
Светлый Яр;1
Серафимович;1
Средняя Ахтуба;1
Сталинград;1
Старая Полтавка;1
Суровикино;1
Урюпинск;1
Фролово;1
Чернышковский;1
Бабаево;1
Белозерск;1
Великий Устюг;1
Верховажье;1
Вожега;1
Вологда;1
Вохтога;1
Вытегра;1
Грязовец;1
Кадников;1
Кадуй;1
Кичменгский Городок;1
Липин Бор;1
Никольск;1
Нюксеница;1
Сокол;1
Сямжа;1
Тарногский Городок;1
Тотьма;1
Устюжна;1
Харовск;1
Чагода;1
Череповец;1
Шексна;1
Шуйское;1
Анна;1
Бобров;1
Богучар;1
Борисоглебск;1
Бутурлиновка;1
Верхний Мамон;1
Верхняя Хава;1
Воробьевка;1
Воронеж;1
Грибановский;1
Давыдовка;1
Елань-Коленовский;1
Калач;1
Кантемировка;1
Лиски;1
Нижнедевицк;1
Новая Усмань;1
Новохоперск;1
Ольховатка;1
Острогожск;1
Павловск;1
Панино;1
Петропавловка;1
Поворино;1
Подгоренский;1
Рамонь;1
Репьевка;1
Россошь;1
Семилуки;1
Таловая;1
Терновка;1
Хохольский;1
Эртиль;1
нововоронеж;1
Агвали;1
Акуша;1
Ахты;1
Ачису;1
Бабаюрт;1
Бежта;1
Ботлих;1
Буйнакск;1
Вачи;1
Гергебиль;1
Гуниб;1
Дагестанские Огни;1
Дербент;1
Дылым;1
Ершовка;1
Избербаш;1
Карабудахкент;1
Карата;1
Каспийск;1
Касумкент;1
Кизилюрт;1
Кизляр;1
Кочубей;1
Кумух;1
Курах;1
Магарамкент;1
Маджалис;1
Махачкала;1
Мехельта;1
Новолакское;1
Рутул;1
Советское;1
Тарумовка;1
Терекли-Мектеб;1
Тлярата;1
Тпиг;1
Уркарах;1
Хасавюрт;1
Хив;1
Хунзах;1
Цуриб;1
Южно-Сухокумск;1
Биробиджан;0
Архиповка;1
Верхний Ландех;1
Вичуга;1
Гаврилов Посад;1
Долматовский;1
Дуляпино;1
Заволжск;1
Заречный;1
Иваново;1
Иваньковский;1
Ильинское-Хованское;1
Каминский;1
Кинешма;1
Комсомольск;1
Кохма;1
Лух;1
Палех;1
Пестяки;1
Приволжск;1
Пучеж;1
Родники;1
Савино;1
Сокольское;1
Тейково;1
Фурманов;1
Шуя;1
Южа;1
Юрьевец;1
Алексеевск;0
Алзамай;0
Алыгжер;0
Ангарск;0
Артемовский;0
Атагай;0
Байкал;0
Байкальск;0
Балаганск;0
Баяндай;0
Бирюсинск;0
Бодайбо;0
Большая Речка;0
Большой Луг;0
Бохан;0
Братск;0
Видим;0
Витимский;0
Вихоревка;0
Еланцы;0
Ербогачен;0
Железногорск-Илимский;0
Жигалово;0
Забитуй;0
Залари;0
Звездный;0
Зима;0
Иркутск;0
Казачинское;0
Качуг;0
Квиток;0
Киренск;0
Куйтун;0
Култук;0
Кутулик;0
Мама;0
Нижнеудинск;0
Оса;0
Саянск;0
Слюдянка;0
Тайшет;0
Тулун;0
Усолье-Сибирское;0
Усть-Илимск;0
Усть-Кут;0
Усть-Ордынский;0
Усть-Уда;0
Черемхово;0
Чунский;0
Шелехов;0
Баксан;1
Майский;1
Нальчик;1
Нарткала;1
Прохладный;1
Советское;1
Терек;1
Тырныауз;1
Чегем-Первый;1
Багратионовск;0
Балтийск;0
Гвардейск;0
Гурьевск;0
Гусев;0
Железнодорожный;0
Зеленоградск;0
Знаменск;0
Кёнигсберг;0
Калининград;0
Кенисберг;0
Краснознаменск;0
Мамоново;0
Неман;0
Нестеров;0
Озерск;0
